customer_id,name,segment,region,acquisition_date,lifetime_value,status,churn_date
CUST-N001,Acme Corp,Enterprise,North,2021-03-15,95000,active,
CUST-N002,Northern Tech Solutions,SMB,North,2022-06-20,18500,active,
CUST-N003,HealthFirst Inc,Enterprise,North,2020-11-10,125000,active,
CUST-N004,Midwest Manufacturing,SMB,North,2023-02-28,12000,active,
CUST-N005,Financial Partners Group,Enterprise,North,2019-08-05,180000,active,
CUST-N006,Quick Service Co,SMB,North,2023-07-12,8500,active,
CUST-N007,Metro Healthcare System,Enterprise,North,2020-04-22,150000,active,
CUST-N008,Regional Distributors Inc,SMB,North,2022-09-15,22000,active,
CUST-N009,Northern Insurance Group,Enterprise,North,2019-12-01,200000,active,
CUST-N010,Industrial Solutions Ltd,Enterprise,North,2021-06-30,85000,active,
CUST-N011,Tech Startup Alpha,SMB,North,2023-04-10,15000,active,
CUST-N012,Manufacturing Excellence,Enterprise,North,2020-08-18,110000,active,
CUST-N013,Healthcare Analytics Co,Enterprise,North,2022-01-25,78000,active,
CUST-N014,Business Services Plus,SMB,North,2023-09-05,9500,active,
CUST-N015,Enterprise Finance Corp,Enterprise,North,2019-05-14,165000,active,
CUST-N016,Regional Health Network,Enterprise,North,2021-10-20,92000,active,
CUST-N017,Smart Solutions SMB,SMB,North,2023-06-18,11000,active,
CUST-N018,North American Industries,Enterprise,North,2020-02-28,145000,active,
CUST-N019,Premier Healthcare,Enterprise,North,2019-09-12,175000,active,
CUST-N020,Growth Tech Inc,SMB,North,2023-08-22,14000,active,
CUST-N021,Financial Services Elite,Enterprise,North,2020-06-15,130000,active,
CUST-N022,Midwest Solutions,SMB,North,2024-01-10,7500,active,
CUST-N023,Healthcare Innovations,Enterprise,North,2021-04-05,105000,active,
CUST-N024,Consumer Direct North,Consumer,North,2024-03-15,850,active,
CUST-N025,Individual User N1,Consumer,North,2024-05-20,650,active,
CUST-N026,Individual User N2,Consumer,North,2024-07-10,720,active,
CUST-S001,Southern Energy Partners,Enterprise,South,2021-05-20,88000,active,
CUST-S002,AgriTech Solutions,SMB,South,2022-08-15,16500,active,
CUST-S003,Logistics Express,SMB,South,2023-01-10,19000,active,
CUST-S004,Consumer South App User,Consumer,South,2023-11-05,450,active,
CUST-S005,Energy Corp International,Enterprise,South,2020-03-25,135000,active,
CUST-S006,Small Farm Collective,SMB,South,2023-06-30,7800,active,
CUST-S007,Southern Manufacturing,Enterprise,South,2019-11-18,155000,active,
CUST-S008,Regional Logistics Hub,SMB,South,2022-04-12,21000,active,
CUST-S009,Energy Solutions Ltd,Enterprise,South,2020-07-08,140000,active,
CUST-S010,Agricultural Partners,Enterprise,South,2021-09-22,95000,active,
CUST-S011,Transport Services Co,SMB,South,2023-03-18,13500,active,
CUST-S012,Southern Power Grid,Enterprise,South,2020-01-14,160000,active,
CUST-S013,Farm Equipment Dealers,Enterprise,South,2022-05-28,72000,active,
CUST-S014,Logistics Network Inc,SMB,South,2023-08-05,10500,active,
CUST-S015,Energy Management Corp,Enterprise,South,2019-06-20,175000,active,
CUST-S016,Agricultural Innovations,Enterprise,South,2021-11-30,82000,active,
CUST-S017,Supply Chain Solutions,SMB,South,2023-05-25,12000,active,
CUST-S018,Southern Industries Group,Enterprise,South,2020-09-10,125000,active,
CUST-S019,Renewable Energy Co,Enterprise,South,2021-02-18,98000,active,
CUST-S020,Local Farmers Market,SMB,South,2024-02-20,6500,active,
CUST-S021,Power Distribution Inc,Enterprise,South,2020-04-05,115000,active,
CUST-S022,AgriServices Network,SMB,South,2024-04-15,8000,active,
CUST-S023,Southern Utilities,Enterprise,South,2019-08-28,185000,active,
CUST-S024,Consumer South User,Consumer,South,2024-06-10,550,active,
CUST-S025,Individual User S1,Consumer,South,2024-04-25,480,active,
CUST-S026,Individual User S2,Consumer,South,2024-08-15,620,active,
CUST-E001,East Coast Retail Group,Enterprise,East,2021-07-12,92000,active,
CUST-E002,Consumer East App User,Consumer,East,2023-09-18,380,active,
CUST-E003,Education Partners Inc,Enterprise,East,2020-05-30,118000,active,
CUST-E004,Regional Retail Chain,SMB,East,2022-10-22,17500,active,
CUST-E005,Government Services Corp,Enterprise,East,2019-12-15,165000,active,
CUST-E006,Retail Solutions SMB,SMB,East,2023-04-08,14000,active,
CUST-E007,State Education Board,Enterprise,East,2020-02-10,145000,active,
CUST-E008,Retail Analytics Co,SMB,East,2022-07-25,19500,active,
CUST-E009,Federal Contractors Inc,Enterprise,East,2019-09-30,190000,active,
CUST-E010,University Systems,Enterprise,East,2021-03-18,105000,active,
CUST-E011,Retail Tech Startup,SMB,East,2023-05-12,11500,active,
CUST-E012,Government Tech Solutions,Enterprise,East,2020-08-05,135000,active,
CUST-E013,Education Analytics,Enterprise,East,2022-02-28,78000,active,
CUST-E014,E-Commerce Solutions,SMB,East,2023-07-20,13000,active,
CUST-E015,Public Sector Partners,Enterprise,East,2019-11-08,170000,active,
CUST-E016,School District Network,Enterprise,East,2021-06-15,88000,active,
CUST-E017,Online Retail Hub,SMB,East,2023-09-10,10000,active,
CUST-E018,State Government Services,Enterprise,East,2020-10-25,155000,active,
CUST-E019,Higher Education Consortium,Enterprise,East,2021-01-20,112000,active,
CUST-E020,Retail Management Group,SMB,East,2024-01-08,9000,active,
CUST-E021,Federal Programs Office,Enterprise,East,2020-03-12,140000,active,
CUST-E022,Campus Technology Inc,SMB,East,2024-03-25,7500,active,
CUST-E023,Municipal Services Corp,Enterprise,East,2019-07-18,180000,active,
CUST-E024,Consumer East User,Consumer,East,2024-05-30,620,active,
CUST-E025,Individual User E1,Consumer,East,2024-06-15,540,active,
CUST-E026,Individual User E2,Consumer,East,2024-09-05,480,active,
CUST-W001,West Tech Giants,Enterprise,West,2020-09-25,145000,active,
CUST-W002,Silicon Valley Startup,SMB,West,2022-11-18,22000,active,
CUST-W003,Entertainment Studios Inc,Enterprise,West,2019-06-10,185000,active,
CUST-W004,Aerospace Components Ltd,SMB,West,2023-02-15,25000,active,
CUST-W005,Tech Innovators Corp,Enterprise,West,2019-04-22,210000,active,
CUST-W006,Digital Media Solutions,SMB,West,2023-05-30,18500,active,
CUST-W007,West Coast Aerospace,Enterprise,West,2020-01-08,175000,active,
CUST-W008,Cloud Services Startup,SMB,West,2022-08-25,21000,active,
CUST-W009,Entertainment Conglomerate,Enterprise,West,2019-10-15,225000,active,
CUST-W010,Tech Platform Inc,Enterprise,West,2021-02-28,135000,active,
CUST-W011,SaaS Solutions Co,SMB,West,2023-04-20,16000,active,
CUST-W012,Aerospace Systems Group,Enterprise,West,2020-06-12,165000,active,
CUST-W013,Digital Entertainment Co,Enterprise,West,2022-03-08,95000,active,
CUST-W014,Tech Services SMB,SMB,West,2023-07-15,12500,active,
CUST-W015,West Coast Tech Leaders,Enterprise,West,2019-08-20,195000,active,
CUST-W016,Streaming Platform Inc,Enterprise,West,2021-05-10,115000,active,
CUST-W017,AI Startup Ventures,SMB,West,2023-06-28,14500,active,
CUST-W018,Major Studios Entertainment,Enterprise,West,2020-04-18,180000,active,
CUST-W019,Tech Innovation Labs,Enterprise,West,2021-08-22,105000,churned,2024-10-15
CUST-W020,Digital Agency West,SMB,West,2023-09-12,8500,churned,2024-11-01
CUST-W021,Aerospace Ventures,Enterprise,West,2022-01-15,88000,churned,2024-10-28
CUST-W022,Media Tech Solutions,SMB,West,2024-02-10,6500,churned,2024-11-15
CUST-W023,Entertainment Tech Co,Enterprise,West,2021-11-05,125000,active,
CUST-W024,Consumer West User,Consumer,West,2024-04-18,380,active,
CUST-W025,Individual User W1,Consumer,West,2024-07-22,280,churned,2024-11-20
CUST-W026,Individual User W2,Consumer,West,2024-08-30,320,churned,2024-12-05
